ess_number,level,title,notes,reserved
01 74 19,section,Construction Waste Management and Disposal,,
01 75 00,section,Starting and Adjusting,,
01 76 00,section,Protecting Installed Construction,,
01 77 00,section,Closeout Procedures,,
01 78 00,section,Closeout Submittals,,
01 78 23,section,Operation and Maintenance Data,,
01 78 39,section,Project Record Documents,,
01 79 00,section,Demonstration and Training,,
01 80 00,section,Performance Requirements,,
01 81 00,section,Facility Performance Requirements,,
01 82 00,section,Facility Substructure Performance Requirements,,
01 83 00,section,Facility Shell Performance Requirements,,
01 84 00,section,Interiors Performance Requirements,,
01 86 00,section,Facility Services Performance Requirements,,
01 91 00,section,Commissioning,,
01 91 13,section,General Commissioning Requirements,,
10 00 00,division,Existing Conditions,,
10 01 00,section,Assessment,,
10 01 13,section,Selective Site Demolition Assessment,,
10 01 19,section,Building Condition Assessment,,
10 05 00,section,Common Work Results for Existing Conditions,,
10 06 00,section,Schedules for Existing Conditions,,
10 07 00,section,Commissioning for Existing Conditions,,
10 10 00,section,Subsurface Investigation,,
10 10 13,section,Subsurface Drilling and Sampling,,
10 10 16,section,Percolation Testing,,
10 11 00,section,Existing Material Assessment,,
10 11 13,section,Concrete Assessment,,
10 11 16,section,Masonry Assessment,,
10 11 19,section,Metal Assessment,,
10 11 23,section,Wood Assessment,,
10 21 00,section,Removal and Salvage,,
10 21 13,section,Selective Demolition,,
10 21 16,section,Structure Moving,,
10 22 00,section,Hazardous Material Remediation,,
10 22 13,section,Asbestos Abatement,,
10 22 16,section,Lead Remediation,,
10 22 19,section,Polychlorinated Biphenyl (PCB) Remediation,,
10 22 23,section,Mold Remediation,,
10 41 00,section,Building Deconstruction,,
10 41 13,section,Building Deconstruction and Material Salvage,,
11 00 00,division,Concrete,,
11 03 00,section,Concrete Rehabilitation,,
11 05 00,section,Common Work Results for Concrete,,
11 05 13,section,Selective Concrete Demolition,,
11 11 00,section,Concrete Forming and Accessories,,
11 11 13,section,Structural Cast-in-Place Concrete Forming,,
11 11 16,section,Architectural Cast-in-Place Concrete Forming,,
11 11 19,section,Insulating Concrete Forming,,
11 11 23,section,Permanent Stair Forming,,
11 13 00,section,Concrete Reinforcing,,
11 13 13,section,Deformed Bar Reinforcing,,
11 13 16,section,Welded Wire Reinforcing,,
11 13 19,section,Post-Installed Concrete Anchors,,
11 13 23,section,Stressing Tendons,,
11 13 26,section,Unbonded Post-Tensioning,,
11 13 29,section,Bonded Post-Tensioning,,
11 15 00,section,Concrete Accessories,,
11 15 13,section,Concrete Joints and Accessories,,
11 15 16,section,Concrete Anchors,,
11 16 00,section,Concrete Placing,,
11 16 13,section,Shotcrete,,
11 16 16,section,Concrete Pumping,,
11 21 00,section,Cast-in-Place Concrete,,
11 21 13,section,Concrete Mixing,,
11 23 00,section,Structural Concrete,,
11 23 13,section,Structural Concrete for Buildings,,
11 23 53,section,Concrete Toppings,,
11 24 00,section,Lightweight Structural Concrete,,
11 25 00,section,Fiber-Reinforced Concrete,,
11 27 00,section,Roller-Compacted Concrete,,
11 29 00,section,Specialty Placed Concrete,,
11 29 13,section,Underwater Concrete,,
11 31 00,section,Precast Concrete,,
11 31 13,section,Precast Concrete Slabs,,
11 31 16,section,Precast Concrete Stairs,,
11 33 00,section,Architectural Precast Concrete,,
11 33 13,section,Precast Concrete Specialties,,
11 35 00,section,Precast Concrete Structural Components,,
11 35 13,section,Prestressed Concrete,,
11 35 16,section,Precast Concrete Hollow-Core Planks,,
11 45 00,section,Cementitious Panel Products,,
11 45 13,section,Glass-Fiber-Reinforced Concrete,,
12 00 00,division,Masonry,,
12 01 00,section,Masonry Rehabilitation,,
12 05 00,section,Common Work Results for Masonry,,
12 05 13,section,Masonry Mortaring,,
12 05 16,section,Masonry Grouting,,
12 05 19,section,Masonry Anchorage and Reinforcing,,
12 05 23,section,Masonry Accessories,,
12 06 00,section,Schedules for Masonry,,
12 11 00,section,Brick Masonry,,
12 11 13,section,Brick Masonry,,
12 12 00,section,Concrete Unit Masonry,,
12 12 13,section,Concrete Masonry Units,,
12 12 16,section,Concrete Masonry Veneer,,
12 13 00,section,Stone Masonry,,
12 13 13,section,Cut Stone Masonry,,
12 13 16,section,Rubble Stone Masonry,,
12 14 00,section,Manufactured Masonry Units,,
12 14 13,section,Adobe Masonry Units,,
12 14 16,section,Calcium Silicate Masonry Units,,
12 16 00,section,Architectural Masonry,,
12 16 13,section,Architectural Brick,,
12 16 16,section,Glazed Concrete Masonry Units,,
12 19 00,section,Masonry Fireplaces,,
12 19 13,section,Masonry Fireplaces,,
13 00 00,division,Metals,,
13 05 00,section,Common Work Results for Metals,,
13 05 13,section,Selective Metal Demolition,,
13 05 23,section,Metal Fastenings,,
13 06 00,section,Schedules for Metals,,
13 11 00,section,Structural Metal Framing,,
13 11 13,section,Structural Steel Framing,,
13 11 16,section,Structural Steel for Buildings,,
13 11 19,section,Architecturally-Exposed Structural Steel,,
13 11 23,section,Structural Aluminum Framing,,
13 12 00,section,Structural Steel for Bridges,,
13 13 00,section,Metal Fabrications,,
13 13 13,section,Metal Stairs,,
13 13 16,section,Ladders and Rungs,,
13 13 19,section,Metal Floor Plate,,
13 13 23,section,Metal Gratings,,
13 13 26,section,Metal Castings,,
13 13 29,section,Bollards,,
13 13 33,section,Metal Railing and Handrails,,
13 15 00,section,Wire Rope and Cable Assemblies,,
13 15 13,section,Structural Cable Assemblies,,
13 16 00,section,Cold-Formed Metal Framing,,
13 16 13,section,Cold-Formed Metal Floor Framing,,
13 16 16,section,Cold-Formed Metal Roof Framing,,
13 16 19,section,Cold-Formed Metal Wall Framing,,
13 17 00,section,Metal Joists,,
13 17 13,section,Open-Web Steel Joists,,
13 17 16,section,Joist Girders,,
13 18 00,section,Metal Decking,,
13 18 13,section,Metal Roof Decking,,
13 18 16,section,Metal Floor Decking,,
13 21 00,section,Steel Connections,,
13 21 13,section,High-Strength Bolts,,
13 21 16,section,Welded Connections,,
14 00 00,division,Wood Plastics and Composites,,
14 05 00,section,Common Work Results for Wood Plastics and Composites,,
14 05 13,section,Selective Wood Demolition,,
14 06 00,section,Schedules for Wood Plastics and Composites,,
14 11 00,section,Wood Framing,,
14 11 13,section,Dimension Lumber Framing,,
14 11 16,section,Engineered Wood Products,,
14 11 19,section,Heavy Timber Framing,,
14 11 23,section,Log Construction,,
14 11 26,section,Timber Framing,,
14 11 33,section,Structural Insulated Panels,,
14 12 00,section,Structural Panels,,
14 12 13,section,Plywood,,
14 12 16,section,Oriented Strand Board,,
14 13 00,section,Sheathing,,
14 13 13,section,Wood Structural Panel Sheathing,,
14 13 16,section,Gypsum Sheathing,,
14 14 00,section,Treated Wood Products,,
14 14 13,section,Pressure-Treated Wood,,
14 21 00,section,Finish Carpentry,,
14 21 13,section,Exterior Finish Carpentry,,
14 21 16,section,Interior Finish Carpentry,,
14 22 00,section,Millwork,,
14 22 13,section,Custom Millwork,,
14 23 00,section,Interior Architectural Woodwork,,
14 23 13,section,Interior Trim,,
14 23 16,section,Wood Stairways and Rails,,
14 23 19,section,Wood Casework,,
14 24 00,section,Exterior Architectural Woodwork,,
14 41 00,section,Wood Doors and Frames,,
14 41 13,section,Flush Wood Doors,,
14 41 16,section,Stile and Rail Wood Doors,,
14 46 00,section,Plastic Components,,
14 46 13,section,Fiberglass Reinforced Panels,,
14 46 16,section,Plastic Lumber,,
14 65 00,section,Plastic Fencing,,
15 00 00,division,Reserved for Future Expansion,Reserved,reserved
16 00 00,division,Reserved for Future Expansion,Reserved,reserved
17 00 00,division,Reserved for Future Expansion,Reserved,reserved
18 00 00,division,Reserved for Future Expansion,Reserved,reserved
19 00 00,division,Reserved for Future Expansion,Reserved,reserved
20 00 00,division,Thermal and Moisture Protection,,
20 01 00,section,Thermal and Moisture Protection Rehabilitation,,
20 05 00,section,Common Work Results for Thermal and Moisture Protection,,
20 05 13,section,Thermal and Moisture Protection Testing,,
20 06 00,section,Schedules for Thermal and Moisture Protection,,
20 11 00,section,Dampproofing and Waterproofing,,
20 11 13,section,Bituminous Dampproofing,,
20 11 16,section,Cementitious and Crystalline Dampproofing,,
20 11 19,section,Water Repellents,,
20 11 23,section,Sheet Waterproofing,,
20 11 26,section,Fluid-Applied Waterproofing,,
20 11 29,section,Drainage Board and Geotextile,,
20 11 33,section,Sheet Metal Flashing and Trim,,
20 11 36,section,Through-Wall Flashing,,
20 12 00,section,Below-Grade Waterproofing,,
20 12 13,section,Below-Grade Sheet Waterproofing,,
20 12 16,section,Below-Grade Fluid-Applied Waterproofing,,
20 21 00,section,Thermal Insulation,,
20 21 13,section,Board Insulation,,
20 21 16,section,Blanket Insulation,,
20 21 19,section,Loose-Fill Insulation,,
20 21 23,section,Sprayed Insulation,,
20 21 26,section,Insulation and Underlayment,,
20 22 00,section,Roof and Deck Insulation,,
20 22 13,section,Tapered Insulation,,
20 23 00,section,Exterior Insulation and Finish Systems,,
20 23 13,section,EIFS — Polymer-Based,,
20 23 16,section,EIFS — Polymer-Modified,,
20 24 00,section,Exterior Continuous Insulation,,
20 31 00,section,Steep Slope Roofing,,
20 31 13,section,Asphalt Shingles,,
20 31 16,section,Slate Roofing,,
20 31 19,section,Wood Shingles and Shakes,,
20 31 23,section,Metal Shingles,,
20 31 26,section,Tile Roofing,,
20 32 00,section,Low-Slope Roofing,,
20 32 13,section,Built-Up Bituminous Roofing,,
20 32 16,section,Modified Bituminous Membrane Roofing,,
20 32 19,section,Thermoplastic Membrane Roofing,,
20 32 23,section,Thermoset Membrane Roofing,,
20 32 26,section,Fluid-Applied Roofing,,
20 32 29,section,Vegetative Roofing,,
20 32 33,section,Sprayed Polyurethane Foam Roofing,,
20 33 00,section,Flashing and Sheet Metal,,
20 33 13,section,Sheet Metal Roofing,,
20 33 16,section,Sheet Metal Flashing and Trim,,
20 33 19,section,Manufactured Roof Expansion Joints,,
20 41 00,section,Air Barriers,,
20 41 13,section,Sheet Metal Air Barriers,,
20 41 16,section,Air Infiltration Barriers,,
20 41 19,section,Fluid-Applied Air Barriers,,
20 42 00,section,Vapor Retarders,,
20 42 13,section,Sheet Vapor Retarders,,
20 51 00,section,Cladding and Siding,,
20 51 13,section,Metal Wall Panels,,
20 51 16,section,Fiber Cement Siding,,
20 51 19,section,Wood Siding,,
20 51 23,section,Vinyl Siding,,
20 51 26,section,Composite Siding,,
20 51 29,section,Cementitious Siding,,
20 61 00,section,Roofing Specialties and Accessories,,
20 61 13,section,Prefabricated Roof Specialties,,
20 61 16,section,Roof Hatches and Smoke Vents,,
20 61 19,section,Snow Guards,,
20 61 23,section,Roof Walkways,,
21 00 00,division,Openings,,
21 01 00,section,Openings Rehabilitation,,
21 05 00,section,Common Work Results for Openings,,
21 06 00,section,Schedules for Openings,,
21 11 00,section,Metal Doors and Frames,,
21 11 13,section,Hollow Metal Doors and Frames,,
21 11 16,section,Aluminum Frames,,
21 11 19,section,Steel Frames,,
21 13 00,section,Wood Doors,,
21 13 13,section,Flush Wood Doors,,
21 13 16,section,Stile and Rail Wood Doors,,
21 14 00,section,Plastic Doors,,
21 15 00,section,Composite Doors,,
21 17 00,section,Integrated Door Opening Assemblies,,
21 18 00,section,Special Function Doors,,
21 18 13,section,Sliding Aluminum-Framed Glass Doors,,
21 18 16,section,Folding Doors and Grilles,,
21 18 19,section,Sound Control Door Assemblies,,
21 18 23,section,Detention Doors and Frames,,
21 19 00,section,Special Doors and Frames,,
21 19 13,section,Coiling Doors,,
21 19 16,section,Sectional Overhead Doors,,
21 19 19,section,Upward-Acting Sectional Doors,,
21 19 23,section,Coiling Grilles,,
21 21 00,section,Hardware,,
21 21 13,section,Door Hardware,,
21 21 16,section,Keying,,
21 23 00,section,Glazing,,
21 23 13,section,Glazing,,
21 23 16,section,Heat-Treated Glass,,
21 23 19,section,Insulating Glass,,
21 23 23,section,Plastic Glazing,,
21 23 26,section,Glazing Accessories,,
21 25 00,section,Storefronts and Entrances,,
21 25 13,section,Storefronts,,
21 25 16,section,All-Glass Entrances and Storefronts,,
21 25 19,section,Automatic Entrance Doors,,
21 26 00,section,Curtain Wall and Glazed Assemblies,,
21 26 13,section,Aluminum-Framed Entrances and Storefronts,,
21 26 16,section,Structural Sealant Glazing,,
21 26 19,section,Sloped Glazing Assemblies,,
21 31 00,section,Windows,,
21 31 13,section,Wood Windows,,
21 31 16,section,Aluminum Windows,,
21 31 19,section,Vinyl Windows,,
21 31 23,section,Composite Windows,,
21 31 26,section,Fiberglass Windows,,
21 32 00,section,Skylights,,
21 32 13,section,Plastic Unit Skylights,,
21 32 16,section,Metal-Framed Skylights,,
21 33 00,section,Roof Windows,,
21 41 00,section,Louvers and Vents,,
21 41 13,section,Louvers,,
21 41 16,section,Door Louvers,,
21 46 00,section,Screens and Grilles,,
21 46 13,section,Security Screens and Window Guards,,
22 00 00,division,Finishes,,
22 01 00,section,Finishes Rehabilitation,,
22 05 00,section,Common Work Results for Finishes,,
22 05 13,section,Selective Finish Demolition,,
22 06 00,section,Schedules for Finishes,,
22 09 00,section,Finish Commissioning,,
22 11 00,section,Plaster and Gypsum Board,,
22 11 13,section,Gypsum Plastering,,
22 11 16,section,Portland Cement Plastering,,
22 11 23,section,Gypsum Board,,
22 11 26,section,Gypsum Board Shaft Wall Assemblies,,
22 13 00,section,Tiling,,
22 13 13,section,Ceramic Tiling,,
22 13 16,section,Quarry Tiling,,
22 13 19,section,Mosaic Tiling,,
22 13 23,section,Paver Tiling,,
22 13 26,section,Glass Tiling,,
22 14 00,section,Terrazzo,,
22 14 13,section,Portland Cement Terrazzo,,
22 14 16,section,Precast Terrazzo,,
22 14 19,section,Resinous Matrix Terrazzo,,
22 21 00,section,Ceilings,,
22 21 13,section,Acoustical Panel Ceilings,,
22 21 16,section,Acoustical Tile Ceilings,,
22 21 19,section,Linear Metal Ceilings,,
22 21 23,section,Open-Web Suspended Ceilings,,
22 21 26,section,Integrated Ceiling Assemblies,,
22 22 00,section,Specialty Ceilings,,
22 22 13,section,Suspended Decorative Grids,,
22 31 00,section,Flooring,,
22 31 13,section,Resilient Flooring,,
22 31 16,section,Resilient Wall Base and Accessories,,
22 31 19,section,Carpet,,
22 31 23,section,Carpet Tile,,
22 31 26,section,Access Flooring,,
22 32 00,section,Wood Flooring,,
22 32 13,section,Strip and Plank Wood Flooring,,
22 32 16,section,Laminate Flooring,,
22 33 00,section,Stone Flooring,,
22 33 13,section,Stone Floor Tile,,
22 34 00,section,Resinous Flooring,,
22 34 13,section,Epoxy Floor Coating,,
22 34 16,section,Fluid-Applied Flooring,,
22 41 00,section,Wall Finishes,,
22 41 13,section,Fabric-Wrapped Panels,,
22 41 16,section,Stone Wall Cladding,,
22 41 19,section,Wood Wall Cladding,,
22 61 00,section,Painting and Coating,,
22 61 13,section,Interior Painting,,
22 61 16,section,Exterior Painting,,
22 61 19,section,High-Performance Coatings,,
22 61 23,section,Cementitious Coatings,,
22 63 00,section,Staining and Transparent Finishing,,
22 65 00,section,Intumescent Coatings,,
22 72 00,section,Wall Coverings,,
22 72 13,section,Vinyl Wall Coverings,,
22 72 16,section,Fabric Wall Coverings,,
23 00 00,division,Specialties,,
23 05 00,section,Common Work Results for Specialties,,
23 11 00,section,Visual Display Units,,
23 11 13,section,Markerboards,,
23 11 16,section,Tack Boards,,
23 11 19,section,Combined Visual Display Units,,
23 13 00,section,Directories and Signage,,
23 13 13,section,Exterior Signage,,
23 13 16,section,Interior Signage,,
23 13 19,section,Dimensional Letter Signage,,
23 14 00,section,Pedestrian Control Equipment,,
23 14 13,section,Entrances Control Equipment,,
23 14 16,section,Barrier Gates,,
23 14 19,section,Turnstiles,,
23 21 00,section,Compartments and Cubicles,,
23 21 13,section,Toilet Compartments,,
23 21 16,section,Shower and Dressing Compartments,,
23 21 19,section,Cubicle Curtains and Track,,
23 22 00,section,Partitions and Panels,,
23 22 13,section,Wire Mesh Partitions,,
23 22 16,section,Folding Panel Partitions,,
23 22 19,section,Portable Partitions and Screens,,
23 23 00,section,Interior Specialties,,
23 23 13,section,Recessed Interior Specialties,,
23 24 00,section,Toilet Accessories,,
23 24 13,section,Toilet and Bath Accessories,,
23 24 16,section,Healthcare Accessories,,
23 25 00,section,Service Wall Systems,,
23 31 00,section,Protective Covers,,
23 31 13,section,Awnings,,
23 31 16,section,Canopies,,
23 32 00,section,Pest Control Devices,,
23 33 00,section,Fire Protection Specialties,,
23 33 13,section,Fire Protection Cabinets,,
23 33 16,section,Fire Extinguishers,,
23 34 00,section,Safety Specialties,,
23 34 13,section,Safety Mirrors,,
23 34 16,section,Handrails and Railings,,
23 41 00,section,Storage Specialties,,
23 41 13,section,Lockers,,
23 41 16,section,Shelving,,
23 42 00,section,Postal Specialties,,
23 42 13,section,Mail Receptacles,,
23 43 00,section,Laundry Specialties,,
23 51 00,section,Hydraulic Specialties,,
23 51 13,section,Floor and Trench Drains,,
23 51 16,section,Grease Interceptors,,
23 53 00,section,Fireplaces and Stoves,,
23 53 13,section,Factory-Built Fireplaces,,
23 53 16,section,Fireplace Specialties and Accessories,,
23 61 00,section,Recreational and Athletic Equipment,,
23 71 00,section,Healthcare Equipment,,
23 81 00,section,Detention Equipment,,
24 00 00,division,Equipment,,
24 05 00,section,Common Work Results for Equipment,,
24 11 00,section,Vehicle and Pedestrian Equipment,,
24 11 13,section,Loading Dock Equipment,,
24 11 16,section,Coiling Dock Levelers,,
24 12 00,section,Parking Control Equipment,,
24 13 00,section,Maintenance Equipment,,
24 14 00,section,Food Service Equipment,,
24 14 13,section,Commercial Kitchen Equipment,,
24 15 00,section,Residential Equipment,,
24 15 13,section,Residential Appliances,,
24 21 00,section,Healthcare Equipment,,
24 22 00,section,Educational and Scientific Equipment,,
24 23 00,section,Entertainment Equipment,,
24 31 00,section,Bank and Vault Equipment,,
24 32 00,section,Mercantile and Service Equipment,,
24 33 00,section,Hospitality Equipment,,
24 41 00,section,Industrial and Process Equipment,,
25 00 00,division,Furnishings,,
25 05 00,section,Common Work Results for Furnishings,,
25 11 00,section,Fixed Audience Seating,,
25 12 00,section,Fixed Commercial Seating,,
25 13 00,section,Stadium and Arena Seating,,
25 21 00,section,Window Treatments,,
25 21 13,section,Window Blinds,,
25 21 16,section,Interior Shutters,,
25 22 00,section,Interior Planters and Artificial Plants,,
25 31 00,section,Casework,,
25 31 13,section,Metal Casework,,
25 31 16,section,Plastic Laminate-Clad Casework,,
25 31 19,section,Wood Casework,,
25 32 00,section,Countertops,,
25 32 13,section,Plastic Countertops,,
25 32 16,section,Stone Countertops,,
25 32 19,section,Solid Surfacing Countertops,,
25 41 00,section,Healthcare Furnishings,,
25 51 00,section,Educational Furnishings,,
25 61 00,section,Religious Furnishings,,
25 71 00,section,Exterior Furnishings,,
25 71 13,section,Site Seating and Tables,,
25 71 16,section,Bicycle Racks,,
25 71 19,section,Exterior Trash Receptacles,,
25 72 00,section,Planters,,
26 00 00,division,Special Construction,,
26 11 00,section,Special Structural Systems,,
26 11 13,section,Air-Supported Structures,,
26 11 16,section,Tensioned Fabric Structures,,
26 13 00,section,Special Purpose Rooms,,
26 13 13,section,Clean Rooms,,
26 13 16,section,Cold Storage Rooms,,
26 13 19,section,Controlled Environment Rooms,,
26 13 23,section,Saunas,,
26 13 26,section,Anechoic Rooms,,
26 14 00,section,Special Purpose Buildings,,
26 21 00,section,Pre-Engineered Structures,,
26 21 13,section,Metal Building Systems,,
26 21 16,section,Portable and Mobile Buildings,,
26 31 00,section,Vaults,,
26 31 13,section,Prefabricated Vaults,,
26 32 00,section,Radiation Protection,,
26 33 00,section,Fireproofing,,
26 33 13,section,Cementitious Fireproofing,,
26 33 16,section,Intumescent Mastic Fireproofing,,
26 41 00,section,Swimming Pools,,
26 41 13,section,Swimming Pool Construction,,
26 41 16,section,Swimming Pool Finish,,
26 41 19,section,Swimming Pool Equipment,,
26 51 00,section,Fountains,,
26 52 00,section,Solar and Wind Energy Systems,,
26 52 13,section,Photovoltaic Collectors,,
26 52 16,section,Solar Energy Thermal Systems,,
26 52 19,section,Wind Energy Systems,,
27 00 00,division,Reserved for Future Expansion,Reserved,reserved
28 00 00,division,Reserved for Future Expansion,Reserved,reserved
29 00 00,division,Reserved for Future Expansion,Reserved,reserved
30 00 00,division,Plumbing,,
30 05 00,section,Common Work Results for Plumbing,,
30 05 13,section,Common Motor Requirements for Plumbing Equipment,,
30 05 16,section,Expansion Fittings and Loops for Plumbing Piping,,
30 05 23,section,General-Duty Valves for Plumbing Piping,,
30 05 29,section,Hangers and Supports for Plumbing Piping and Equipment,,
30 05 53,section,Identification for Plumbing Piping and Equipment,,
30 07 00,section,Plumbing Insulation,,
30 07 19,section,Plumbing Piping Insulation,,
30 11 00,section,Facility Water Distribution,,
30 11 13,section,Facility Water Distribution Piping,,
30 11 16,section,Domestic Water Pumps,,
30 11 19,section,Domestic Water Filtration Equipment,,
30 12 00,section,Facility Sanitary Sewerage,,
30 12 13,section,Facility Sanitary Sewers,,
30 12 16,section,Facility Sanitary Sewers Manholes,,
30 13 00,section,Facility Storm Drainage,,
30 13 13,section,Facility Storm Drainage Piping,,
30 14 00,section,Facility Natural-Gas Piping,,
30 14 13,section,Facility Natural-Gas Piping,,
30 21 00,section,Domestic Water Piping,,
30 21 13,section,Facility Water Distribution Piping,,
30 21 16,section,Water Utility Service Piping,,
30 22 00,section,Domestic Water Piping Specialties,,
30 22 13,section,Domestic Water Pressure Reducing Valves,,
30 22 16,section,Domestic Water Piping Specialties,,
30 23 00,section,Domestic Water Pumps,,
30 29 00,section,Water Treatment Equipment,,
30 31 00,section,Sanitary Sewerage,,
30 31 13,section,Sanitary Sewerage Piping,,
30 32 00,section,Sanitary Sewerage Specialties,,
30 33 00,section,Sanitary Sewerage Pumps,,
30 41 00,section,Storm Drainage,,
30 41 13,section,Storm Drainage Piping,,
30 42 00,section,Storm Drainage Specialties,,
30 45 00,section,Area Drainage,,
30 45 13,section,Trench and Channel Drainage,,
30 51 00,section,Plumbing Fixtures,,
30 51 13,section,Water Closets,,
30 51 16,section,Urinals,,
30 51 19,section,Lavatories,,
30 51 23,section,Sinks,,
30 51 26,section,Bathtubs and Whirlpool Bathtubs,,
30 51 29,section,Showers,,
30 51 33,section,Drinking Fountains and Water Coolers,,
30 51 36,section,Emergency Fixtures,,
30 63 00,section,Gas Systems,,
30 63 13,section,Natural Gas Piping,,
30 63 19,section,Compressed-Air Systems,,
31 00 00,division,HVAC,,
31 05 00,section,Common Work Results for HVAC,,
31 05 13,section,Common Motor Requirements for HVAC Equipment,,
31 05 17,section,Sleeves and Sleeve Seals for HVAC Piping,,
31 05 19,section,Meters and Gauges for HVAC Piping,,
31 05 23,section,General-Duty Valves for HVAC Piping,,
31 05 29,section,Hangers and Supports for HVAC Piping and Equipment,,
31 05 48,section,Vibration and Seismic Controls for HVAC,,
31 05 53,section,Identification for HVAC Piping and Equipment,,
31 07 00,section,HVAC Insulation,,
31 07 13,section,Duct Insulation,,
31 07 16,section,HVAC Piping Insulation,,
31 11 00,section,Facility Fuel Systems,,
31 11 13,section,Facility Fuel-Oil Piping,,
31 12 00,section,Facility Cooling Generating Systems,,
31 13 00,section,Facility Heating and Cooling Piping Systems,,
31 21 00,section,Hydronic Piping and Pumps,,
31 21 13,section,Hydronic Piping,,
31 21 16,section,Hydronic Specialties,,
31 21 23,section,Hydronic Pumps,,
31 22 00,section,Steam and Condensate Piping,,
31 22 13,section,Steam and Condensate Heating Piping,,
31 23 00,section,Refrigerant Piping,,
31 24 00,section,HVAC Water Treatment,,
31 31 00,section,HVAC Ducts and Casings,,
31 31 13,section,Metal Ducts,,
31 31 16,section,Nonmetal Ducts,,
31 31 19,section,HVAC Casings,,
31 31 23,section,HVAC Power Ventilators,,
31 32 00,section,Air Plenums and Chases,,
31 33 00,section,Air Duct Accessories,,
31 33 13,section,Dampers,,
31 33 16,section,Duct Hardware,,
31 36 00,section,Air Terminal Units,,
31 36 13,section,Constant Air Volume Units,,
31 36 16,section,Variable Air Volume Units,,
31 37 00,section,Air Outlets and Inlets,,
31 37 13,section,Diffusers Registers and Grilles,,
31 37 16,section,Air Distribution Specialties,,
31 41 00,section,Fans,,
31 41 13,section,Axial HVAC Fans,,
31 41 16,section,Centrifugal HVAC Fans,,
31 41 19,section,Power Ventilators,,
