ess_number,ess_title,mf_number,mf_title,crossref_notes
31 51 13,Boilers,23 52 13,Fire-Tube Boilers,ESS uses generic title; MF separates boiler types
31 74 13,Packaged Rooftop Units,23 74 13,Packaged Outdoor Central-Station Air-Handling Units,ESS uses common industry term
32 00 00,Fire Suppression,21 00 00,Fire Suppression,ESS renumbers from 21 to 32
32 21 13,Wet-Pipe Sprinkler Systems,21 13 13,Wet-Pipe Sprinkler Systems,ESS group change only
32 21 16,Dry-Pipe Sprinkler Systems,21 13 16,Dry-Pipe Sprinkler Systems,ESS group change only
32 31 23,Clean-Agent Extinction Systems,21 22 23,Clean-Agent Extinction Systems,ESS group change only
33 00 00,Electrical,26 00 00,Electrical,ESS renumbers from 26 to 33
33 05 26,Grounding and Bonding for Electrical Systems,26 05 26,Grounding and Bonding for Electrical Systems,ESS group change only
33 05 33,Raceway and Boxes for Electrical Systems,26 05 33,Raceways and Boxes for Electrical Systems,Minor title difference
33 31 13,Interior Lighting,26 51 00,Interior Lighting,ESS group change only
33 41 13,Switchboards,26 24 13,Switchboards,ESS group change only
33 41 16,Panelboards,26 24 16,Panelboards,ESS group change only
33 51 13,Engine Generators,26 32 13,Engine Generators,ESS group change only
33 71 13,Communications Pathways and Spaces,27 05 28,Pathways for Communications Systems,Scope difference; ESS includes spaces
33 81 13,Fire Alarm Systems,28 31 13,Fire Alarm Systems,Significant division shift; MF places in Electronic Safety; ESS places in Electrical
33 81 26,Access Control Systems,28 13 16,Security Access Detection,Scope difference; ESS title broader
33 81 29,Video Surveillance Systems,28 23 13,Video Surveillance Systems,ESS group change only
40 00 00,Conveying Equipment,14 00 00,Conveying Equipment,ESS renumbers from 14 to 40
40 11 13,Electric Traction Elevators,14 21 13,Electric Traction Elevators,ESS group change only
40 11 16,Hydraulic Elevators,14 24 13,Hydraulic Elevators,ESS group change only
40 12 13,Escalators,14 31 13,Escalators,ESS group change only
41 00 00,Earthwork,31 00 00,Earthwork,ESS renumbers from 31 to 41
41 11 13,Selective Site Clearing,31 11 13,Clearing and Grubbing,Title difference; ESS more specific
41 12 13,Site Grading,31 22 13,Rough Grading,Title difference; ESS broader
41 15 13,Temporary Erosion and Sedimentation Control,31 25 13,Erosion Control,ESS adds sedimentation; verify scope
42 00 00,Exterior Improvements,32 00 00,Exterior Improvements,ESS renumbers from 32 to 42
42 11 13,Bituminous Paving,32 12 16,Bituminous Paving,ESS group change only
42 12 13,Portland Cement Concrete Paving,32 13 13,Portland Cement Concrete Paving,ESS group change only
42 31 13,Chain Link Fences and Gates,32 31 13,Chain-Link Fences and Gates,Minor title difference (hyphen)
42 51 26,Trees and Shrubs,32 93 13,Trees,ESS combines trees and shrubs in one section
43 00 00,Utilities,33 00 00,Utilities,ESS renumbers from 33 to 43
43 11 13,Water Utility Distribution Piping,33 11 13,Water Utility Distribution Piping,ESS group change only
43 12 13,Sanitary Utility Sewerage Piping,33 31 13,Sanitary Utility Sewerage Piping,ESS group change only
43 13 13,Storm Utility Drainage Piping,33 41 13,Storm Utility Gravity Piping,Title difference; ESS more generic
44 00 00,Transportation,34 00 00,Transportation,ESS renumbers from 34 to 44
44 11 13,Flexible Roadway Surfaces,34 71 13,Traffic Signals,Scope mismatch; MF 34 is narrowly rail/signal; ESS 44 broadens to all transportation infrastructure
45 00 00,Process Piping,40 00 00,Process Integration,ESS scope limited to piping; MF 40 is broader process integration
46 00 00,Process Heating Cooling and Drying Equipment,40 00 00,Process Integration,Partial overlap; verify scope against MF 46 subsections
47 00 00,Process Gas and Liquid Handling,40 00 00,Process Integration,Partial overlap; verify scope against MF 47 subsections
